id,latitude_min,longitude_min,latitude_max,longitude_max,sand,coral_algae,rock,seagrass,microalgal_mats,rubble
1,124.09017056,24.245,124.09205622,24.24688566,0,0,0,0,0,0
2,124.09205622,24.245,124.09394188,24.24688566,0,0,0,0,0,0
3,124.09394188,24.245,124.09582754,24.24688566,0,0,0,0,0,0
4,124.09582754,24.245,124.0977132,24.24688566,0,0,0,0,0,0
5,124.0977132,24.245,124.09959886,24.24688566,0,0,0,0,0,0
6,124.09959886,24.245,124.10148452,24.24688566,0,0,0,0,0,0
7,124.10148452,24.245,124.10337018,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
8,124.10337018,24.245,124.10525584,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
9,124.10525584,24.245,124.1071415,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
10,124.1071415,24.245,124.10902716,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
11,124.10902716,24.245,124.11091282,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
12,124.11091282,24.245,124.11279848000001,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
13,124.11279848000001,24.245,124.11468414000001,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
14,124.11468414000001,24.245,124.11656980000001,24.24688566,0.0,100.0,0.0,0.0,0.0,0.0
15,124.11656980000001,24.245,124.11845546,24.24688566,0,0,0,0,0,0
16,124.11845546,24.245,124.12034112,24.24688566,0,0,0,0,0,0
17,124.12034112,24.245,124.12222678,24.24688566,0,0,0,0,0,0
18,124.12222678,24.245,124.12411244,24.24688566,0,0,0,0,0,0
19,124.12411244,24.245,124.1259981,24.24688566,0,0,0,0,0,0
20,124.1259981,24.245,124.12788376,24.24688566,0,0,0,0,0,0
21,124.12788376,24.245,124.12976942,24.24688566,0,0,0,0,0,0
22,124.08639924,24.24688566,124.0882849,24.24877132,0,0,0,0,0,0
23,124.0882849,24.24688566,124.09017056,24.24877132,0,0,0,0,0,0
24,124.09017056,24.24688566,124.09205622,24.24877132,0,0,0,0,0,0
25,124.09205622,24.24688566,124.09394188,24.24877132,0,0,0,0,0,0
26,124.09394188,24.24688566,124.09582754,24.24877132,0.0,100.0,0.0,0.0,0.0,0.0
27,124.09582754,24.24688566,124.0977132,24.24877132,0.0,99.5922208281054,0.0,0.40777917189460483,0.0,0.0
28,124.0977132,24.24688566,124.09959886,24.24877132,0.0,92.4927536231884,0.0,7.507246376811594,0.0,0.0
29,124.09959886,24.24688566,124.10148452,24.24877132,0.0,90.88417540514776,9.115824594852242,0.0,0.0,0.0
30,124.10148452,24.24688566,124.10337018,24.24877132,0.0,93.51226284127718,6.487737158722813,0.0,0.0,0.0
31,124.10337018,24.24688566,124.10525584,24.24877132,0.0,58.31784762058657,41.68215237941343,0.0,0.0,0.0
32,124.10525584,24.24688566,124.1071415,24.24877132,0.0,60.9375,39.062499999999986,0.0,0.0,0.0
33,124.1071415,24.24688566,124.10902716,24.24877132,0.0,47.72053521352457,52.27946478647544,0.0,0.0,0.0
34,124.10902716,24.24688566,124.11091282,24.24877132,0.0,61.93413989263682,38.065860107363186,0.0,0.0,0.0
35,124.11091282,24.24688566,124.11279848000001,24.24877132,0.0,58.32932884831011,41.67067115168989,0.0,0.0,0.0
36,124.11279848000001,24.24688566,124.11468414000001,24.24877132,0.0,78.67310413718471,21.326895862815288,0.0,0.0,0.0
37,124.11468414000001,24.24688566,124.11656980000001,24.24877132,0.0,93.74155317600582,6.258446823994179,0.0,0.0,0.0
38,124.11656980000001,24.24688566,124.11845546,24.24877132,0.0,98.42654352659484,1.5734564734051648,0.0,0.0,0.0
39,124.11845546,24.24688566,124.12034112,24.24877132,0.0,100.0,0.0,0.0,0.0,0.0
40,124.12034112,24.24688566,124.12222678,24.24877132,0.0,100.0,0.0,0.0,0.0,0.0
41,124.12222678,24.24688566,124.12411244,24.24877132,0,0,0,0,0,0
42,124.12411244,24.24688566,124.1259981,24.24877132,0,0,0,0,0,0
43,124.1259981,24.24688566,124.12788376,24.24877132,0,0,0,0,0,0
44,124.12788376,24.24688566,124.12976942,24.24877132,0,0,0,0,0,0
45,124.12976942,24.24688566,124.13165508,24.24877132,0,0,0,0,0,0
46,124.13165508,24.24688566,124.13354074,24.24877132,0,0,0,0,0,0
47,124.08639924,24.24877132,124.0882849,24.250656980000002,0,0,0,0,0,0
48,124.0882849,24.24877132,124.09017056,24.250656980000002,0,0,0,0,0,0
49,124.09017056,24.24877132,124.09205622,24.250656980000002,0,0,0,0,0,0
50,124.09205622,24.24877132,124.09394188,24.250656980000002,0.0,100.0,0.0,0.0,0.0,0.0
51,124.09394188,24.24877132,124.09582754,24.250656980000002,0.0,88.05109188298312,0.17854690289795358,11.77036121411894,0.0,0.0
52,124.09582754,24.24877132,124.0977132,24.250656980000002,0.0,61.026174657808376,22.068358280637153,6.307532218042102,0.0,10.597934843512364
53,124.0977132,24.24877132,124.09959886,24.250656980000002,0.0,50.01201249299271,27.724833827180262,8.09642027708817,0.0,14.166733402738844
54,124.09959886,24.24877132,124.10148452,24.250656980000002,0.0,65.98862817330023,10.48290221830704,6.390646272123007,0.0,17.13782333626972
55,124.10148452,24.24877132,124.10337018,24.250656980000002,0.26427484583967314,84.68807559862256,9.20156963241771,3.5396812685192582,0.0,2.3063986546007835
56,124.10337018,24.24877132,124.10525584,24.250656980000002,3.818443804034581,67.81139929554917,9.470060838936917,2.041306436119116,0.0,16.85878962536023
57,124.10525584,24.24877132,124.1071415,24.250656980000002,0.0,53.31144390165774,12.25274285256667,12.25274285256667,0.0,22.18307039320894
58,124.1071415,24.24877132,124.10902716,24.250656980000002,0.0,62.93745495315128,2.6107151437494993,6.126371426283335,0.0,28.32545847681589
59,124.10902716,24.24877132,124.11091282,24.250656980000002,0.0,78.85000400416435,7.583887242732441,1.5616240890526145,0.0,12.004484664050613
60,124.11091282,24.24877132,124.11279848000001,24.250656980000002,0.24015369836695488,73.99135446685881,11.407300672430353,0.6404098623118797,0.0,13.720781300032023
61,124.11279848000001,24.24877132,124.11468414000001,24.250656980000002,1.801873948906863,84.96836710178586,11.187635140546163,2.0421238087611115,0.0,0.0
62,124.11468414000001,24.24877132,124.11656980000001,24.250656980000002,0.0,87.97949867862577,11.283735084487867,0.0,0.0,0.7367662368863618
63,124.11656980000001,24.24877132,124.11845546,24.250656980000002,0.0,85.84014095787282,14.159859042127177,0.0,0.0,0.0
64,124.11845546,24.24877132,124.12034112,24.250656980000002,2.0411430401024573,57.9684623389098,39.99039462098775,0.0,0.0,0.0
65,124.12034112,24.24877132,124.12222678,24.250656980000002,0.0,78.13922504718553,21.86077495281448,0.0,0.0,0.0
66,124.12222678,24.24877132,124.12411244,24.250656980000002,0.0,100.0,0.0,0.0,0.0,0.0
67,124.12411244,24.24877132,124.1259981,24.250656980000002,0,0,0,0,0,0
68,124.1259981,24.24877132,124.12788376,24.250656980000002,0,0,0,0,0,0
69,124.12788376,24.24877132,124.12976942,24.250656980000002,0,0,0,0,0,0
70,124.12976942,24.24877132,124.13165508,24.250656980000002,0,0,0,0,0,0
71,124.13165508,24.24877132,124.13354074,24.250656980000002,0,0,0,0,0,0
72,124.13354074,24.24877132,124.1354264,24.250656980000002,0,0,0,0,0,0
73,124.1354264,24.24877132,124.13731206,24.250656980000002,0,0,0,0,0,0
74,124.08451358,24.250656980000002,124.08639924,24.25254264,0,0,0,0,0,0
75,124.08639924,24.250656980000002,124.0882849,24.25254264,0,0,0,0,0,0
76,124.0882849,24.250656980000002,124.09017056,24.25254264,0,0,0,0,0,0
77,124.09017056,24.250656980000002,124.09205622,24.25254264,0.0,100.0,0.0,0.0,0.0,0.0
78,124.09205622,24.250656980000002,124.09394188,24.25254264,0.0,98.40588595953403,0.0,1.594114040465972,0.0,0.0
79,124.09394188,24.250656980000002,124.09582754,24.25254264,0.0,61.32211538461539,19.983974358974358,13.58974358974359,0.0,5.104166666666666
80,124.09582754,24.250656980000002,124.0977132,24.25254264,10.587010490910547,57.7320413229759,18.066789461039477,7.59189557139425,0.0,6.022263153679827
81,124.0977132,24.250656980000002,124.09959886,24.25254264,33.325320512820504,55.793269230769226,2.0432692307692304,2.323717948717948,0.0,6.514423076923076
82,124.09959886,24.250656980000002,124.10148452,24.25254264,19.44555724701546,52.415671821168175,0.0,11.393317843121546,0.0,16.745453088694813
83,124.10148452,24.250656980000002,124.10337018,24.25254264,43.89423076923076,53.798076923076934,0.0,2.307692307692307,0.0,0.0
84,124.10337018,24.250656980000002,124.10525584,24.25254264,56.93921678545687,41.2829342516217,0.0,1.777848962921438,0.0,0.0
85,124.10525584,24.250656980000002,124.1071415,24.25254264,69.83173076923079,30.168269230769223,0.0,0.0,0.0,0.0
86,124.1071415,24.250656980000002,124.10902716,24.25254264,56.32561493470074,43.67438506529926,0.0,0.0,0.0,0.0
87,124.10902716,24.250656980000002,124.11091282,24.25254264,32.23299415110968,56.830382180914995,0.0,10.936623667975319,0.0,0.0
88,124.11091282,24.250656980000002,124.11279848000001,24.25254264,33.93929686874348,55.93016737406904,0.0,5.477696804676864,0.0,4.65283895251061
89,124.11279848000001,24.250656980000002,124.11468414000001,24.25254264,49.142628205128204,44.96794871794873,0.0,5.889423076923076,0.0,0.0
90,124.11468414000001,24.250656980000002,124.11656980000001,24.25254264,41.39892636807947,57.29508853457256,0.0,0.0,0.0,1.3059850973479685
91,124.11656980000001,24.250656980000002,124.11845546,24.25254264,5.969551282051281,71.29006410256412,12.091346153846148,0.0,0.0,10.64903846153846
92,124.11845546,24.250656980000002,124.12034112,24.25254264,0.0,71.00985024425403,17.169856650916945,2.0421238087611115,0.0,9.77816929606791
93,124.12034112,24.250656980000002,124.12222678,24.25254264,0.0,44.86455044041881,55.13544955958118,0.0,0.0,0.0
94,124.12222678,24.250656980000002,124.12411244,24.25254264,0.0,86.21669033497619,13.783309665023804,0.0,0.0,0.0
95,124.12411244,24.250656980000002,124.1259981,24.25254264,0.0,89.07340217694669,10.926597823053307,0.0,0.0,0.0
96,124.1259981,24.250656980000002,124.12788376,24.25254264,0.0,100.0,0.0,0.0,0.0,0.0
97,124.12788376,24.250656980000002,124.12976942,24.25254264,0,0,0,0,0,0
98,124.12976942,24.250656980000002,124.13165508,24.25254264,0,0,0,0,0,0
99,124.13165508,24.250656980000002,124.13354074,24.25254264,0,0,0,0,0,0
100,124.13354074,24.250656980000002,124.1354264,24.25254264,0,0,0,0,0,0
101,124.1354264,24.250656980000002,124.13731206,24.25254264,0,0,0,0,0,0
102,124.13731206,24.250656980000002,124.13919772,24.25254264,0,0,0,0,0,0
103,124.13919772,24.250656980000002,124.14108338,24.25254264,0,0,0,0,0,0
104,124.08451358,24.25254264,124.08639924,24.2544283,0,0,0,0,0,0
105,124.08639924,24.25254264,124.0882849,24.2544283,0,0,0,0,0,0
106,124.0882849,24.25254264,124.09017056,24.2544283,0,0,0,0,0,0
107,124.09017056,24.25254264,124.09205622,24.2544283,0.0,100.0,0.0,0.0,0.0,0.0
108,124.09205622,24.25254264,124.09394188,24.2544283,0.0,56.46569307334585,8.615485028963041,23.782328465366728,0.0,11.136493432324386
109,124.09394188,24.25254264,124.09582754,24.2544283,0.0,12.90761958176428,15.199102636006728,60.07531447800657,0.0,11.817963304222417
110,124.09582754,24.25254264,124.0977132,24.2544283,29.55309947140797,47.27695018420631,8.273266057984943,9.05814512253724,0.0,5.838539163863525
111,124.0977132,24.25254264,124.09959886,24.2544283,52.87660256410257,47.12339743589743,0.0,0.0,0.0,0.0
112,124.09959886,24.25254264,124.10148452,24.2544283,76.70168246647877,20.497053548552394,0.0,2.8012639849688274,0.0,0.0
113,124.10148452,24.25254264,124.10337018,24.2544283,97.23417332513829,2.765826674861708,0.0,0.0,0.0,0.0
